party,state,name,letra,type,fem,n,year
Morena,Quinta,Hirepan Maya Martínez,n,pr,,134,2018
Morena,Tercera,Iran Santiago Manuel,n,pr,,135,2018
Morena,México,Juan Ángel Bautista Bravo (aún no redactado),n,smd,,136,2018
Morena,Primera,Juan Carlos Loera de la Rosa,n,pr,,137,2018
Morena,Chiapas,Juan Enrique Farrera Esponda (aún no redactado),n,smd,,138,2018
Morena,Segunda,Juan Israel Ramos Ruiz (aún no redactado),n,pr,,139,2018
Morena,México,Juan Pablo Sánchez Rodríguez (aún no redactado),n,smd,,140,2018
Morena,Guerrero,Rubén Cayetano García,n,smd,1,141,2018
Morena,Tlaxcala,Rubén Terán Águila,n,smd,1,142,2018
Morena,Primera,Sebastián Aguilera Brenes,n,pr,,143,2018
Morena,Veracruz,Valentín Reyes López (aún no redactado),n,smd,,144,2018
Morena,Primera,Alberto Villa Villegas (aún no redactado),o,pr,,145,2018
Morena,Tercera,Alejandro Ponce Cobos (aún no redactado),o,pr,,146,2018
Morena,Quinta,Alejandro Viedma Velázquez (aún no redactado),o,pr,,147,2018
Morena,Ciudad de México,Alfonso Ramírez Cuéllar,o,smd,,148,2018
Morena,Chiapas,Alfredo Antonio Gordillo Moreno (aún no redactado),o,smd,,149,2018
Morena,Chiapas,Alfredo Vázquez Vázquez (aún no redactado),o,smd,,150,2018
Morena,Ciudad de México,Armando González Escoto (aún no redactado),o,smd,,151,2018
Morena,Veracruz,Bonifacio Aguilar Linda,o,smd,,152,2018
Morena,Sinaloa,Casimiro Zamora Valdéz,o,smd,,153,2018
Morena,Segunda,Diego del Bosque Villarreal (aún no redactado),o,pr,,154,2018
Morena,Segunda,Edelmiro Santos Díaz,o,pr,,155,2018
Morena,Veracruz,Eleuterio Arrieta Sánchez (aún no redactado),o,smd,,156,2018
Morena,Tamaulipas,Erasmo González Robledo,o,smd,,157,2018
Morena,Veracruz,Eulalio Ríos Fararoni (aún no redactado),o,smd,,158,2018
Morena,Michoacán,Feliciano Flores Anguiano (aún no redactado),o,smd,,159,2018
Morena,Hidalgo,Fortunato Rivera Castillo (aún no redactado),o,smd,,160,2018
Morena,Segunda,Francisco Elizondo Garrido,o,pr,,161,2018
Morena,Coahuila,Francisco Javier Borrego Adame (aún no redactado),o,smd,,162,2018
Morena,Primera,Francisco Javier Guzmán de la Torre (aún no redactado),o,pr,,163,2018
Morena,Quinta,Francisco Javier Ramírez Navarrete (aún no redactado),o,pr,,164,2018
Morena,Michoacán,Gonzalo Herrera Pérez (aún no redactado),o,smd,,165,2018
Morena,Tabasco,Gregorio Efrain Espadas Méndez (aún no redactado),o,smd,,166,2018
Morena,Puebla,Guillermo Aréchiga Santamaría,o,smd,,167,2018
Morena,Hidalgo,Gustavo Callejas Romero (aún no redactado),o,smd,,168,2018
Morena,México,Gustavo Contreras Montes,o,smd,,169,2018
Morena,Sonora,Heriberto Marcelo Aguilar Castillo (aún no redactado),o,smd,,170,2018
Morena,Quinta,Hugo Ruiz Lustre,o,pr,,171,2018
Morena,Michoacán,Ignacio Campos Equihua (aún no redactado),o,smd,,172,2018
Morena,Cuarta,Ignacio Mier Velazco,o,pr,,173,2018
Morena,Oaxaca,Irineo Molina Espinoza (aún no redactado),o,smd,,174,2018
Morena,Tercera,Julio Carranza Aréas (aún no redactado),o,pr,,175,2018
Morena,Hidalgo,Julio César Ángeles Mendoza (aún no redactado),o,smd,,176,2018
Morena,Cuarta,Lucio de Jesús Jiménez (aún no redactado),o,pr,,177,2018
Morena,Cuarta,Lucio Ernesto Palacios Cordero (aún no redactado),o,pr,,178,2018
Morena,Tercera,Marco Antonio Andrade Zavala (aún no redactado),o,pr,,179,2018
Morena,Primera,Marco Antonio Carbajal Miranda (aún no redactado),o,pr,,180,2018
Morena,Quinta,Marco Antonio González Reyes (aún no redactado),o,pr,,181,2018
Morena,Tercera,Marco Antonio Medina Pérez (aún no redactado),o,pr,,182,2018
Morena,Baja California,Mario Moreno Gil (aún no redactado),o,smd,,183,2018
Morena,Cuarta,Maximino Alejandro Candelaria (aún no redactado),o,pr,,184,2018
Morena,Cuarta,Porfirio Muñoz Ledo,o,pr,,185,2018
Morena,Veracruz,Ricardo Francisco Exsome Zapata (aún no redactado),o,smd,,186,2018
