party,state,name,letra,type,fem,n,year
PAN,San Luis Potosí,Agustón Leura González (aún no redactado),n,smd,,90,2006
PAN,Cuarta,Benjamín González Roaro,n,pr,,91,2006
PAN,Cuarta,Christian Martín Lujano Nicolás,n,pr,,92,2006
PAN,Nuevo León,Cristián Castaño Contreras,n,smd,,93,2006
PAN,Cuarta,Efraín Arizmendi Uribe (aún no redactado),n,pr,,94,2006
PAN,Jalisco,Fabián Montes Sánchez (aún no redactado),n,smd,,95,2006
PAN,Primera,Juan de Dios Castro Muñoz (aún no redactado),n,pr,,96,2006
PAN,Tercera,Juan José Rodríguez Prats,n,pr,,97,2006
PAN,Quinta,Juan Manuel Sandoval Munguía (aún no redactado),n,pr,,98,2006
PAN,Nuevo León,Juan Manuel Villanueva Arjona (aún no redactado),n,smd,,99,2006
PAN,México,Juan Victoria Alva (aún no redactado),n,smd,,100,2006
PAN,México,Martín González Morán (aún no redactado),n,smd,,101,2006
PAN,Segunda,Martín López Cisneros,n,pr,,102,2006
PAN,Guanajuato,Martín Malagon Ríos (aún no redactado),n,smd,,103,2006
PAN,Guanajuato,Martín Stefanonni Mazzocco,n,smd,,104,2006
PAN,Michoacán,Ramón Ceja Romero (aún no redactado),n,smd,,105,2006
PAN,Guanajuato,Ramón Landeros González (aún no redactado),n,smd,,106,2006
PAN,Guanajuato,Ramón Lemus Muñoz Ledo (aún no redactado),n,smd,,107,2006
PAN,Segunda,Alberto Vázquez Martínez (aún no redactado),o,pr,,108,2006
PAN,Querétaro,Alejandro Delgado Oscoy,o,smd,,109,2006
PAN,México,Alejandro Landero Gutiérrez (aún no redactado),o,smd,,110,2006
PAN,Quinta,Alejandro Sánchez Domínguez (aún no redactado),o,pr,,111,2006
PAN,Puebla,Alfonso Othón Bello Pérez (aún no redactado),o,smd,,112,2006
PAN,Jalisco,Alonso Lizaola de la Torre (aún no redactado),o,smd,,113,2006
PAN,Quinta,Antonio Berber Martínez (aún no redactado),o,pr,,114,2006
PAN,Veracruz,Antonio del Valle Toca (aún no redactado),o,smd,,115,2006
PAN,Veracruz,Antonio Laviada Hernández (aún no redactado),o,smd,,116,2006
PAN,San Luis Potosí,Antonio Medellín Varela (aún no redactado),o,smd,,117,2006
PAN,Puebla,Antonio Sánchez Díaz de Rivera,o,smd,,118,2006
PAN,Baja California,Antonio Valladolid Rodríguez,o,smd,,119,2006
PAN,Puebla,Antonio Vasconcelos Rueda (aún no redactado),o,smd,,120,2006
PAN,Guanajuato,Antonio Vega Corona (aún no redactado),o,smd,,121,2006
PAN,Puebla,Apolonio Méndez Meneses,o,smd,,122,2006
PAN,México,Armando Enríquez Flores,o,smd,,123,2006
PAN,Sonora,Armando Félix Holguín (aún no redactado),o,smd,,124,2006
PAN,Guanajuato,Artemio Torres Gómez (aún no redactado),o,smd,,125,2006
PAN,Puebla,Arturo Flores Grande (aún no redactado),o,smd,,126,2006
PAN,México,Constantino Acosta Dávila (aún no redactado),o,smd,,127,2006
PAN,Morelos,Demetrio Romás Isidoro (aún no redactado),o,smd,,128,2006
PAN,Tercera,Diódoro Carrasco Altamirano,o,pr,,129,2006
PAN,Sinaloa,Eduardo Ortiz Hernández,o,smd,,130,2006
PAN,Chihuahua,Emilio Flores Domínguez,o,smd,,131,2006
PAN,Puebla,Ernesto Javier Gómez Barrales (aún no redactado),o,smd,,132,2006
PAN,Guanajuato,Ernesto Oviedo Oviedo (aún no redactado),o,smd,,133,2006
